TimeStamp,stage1_to_stage2_true_expected_lag,stage1_to_stage2_true_argmax_lag,stage1_to_stage2_true_pi_lag0,stage1_to_stage2_true_pi_lag1,stage1_to_stage2_true_pi_lag2,stage1_to_stage2_true_pi_lag3,stage1_to_stage2_true_pi_lag4,stage1_to_stage2_true_pi_lag5,stage1_to_stage2_true_pi_lag6,stage1_to_stage2_true_pi_lag7,stage1_to_stage2_true_pi_lag8,stage1_to_stage2_true_pi_lag9,stage1_to_stage2_true_pi_lag10,stage1_to_stage2_true_pi_lag11,stage1_to_stage2_true_pi_lag12,stage1_to_stage2_true_pi_lag13,stage1_to_stage2_true_pi_lag14,stage1_to_stage2_true_pi_lag15,stage1_to_stage2_true_pi_lag16,stage1_to_stage2_true_pi_lag17,stage1_to_stage2_true_pi_lag18,stage1_to_stage2_true_pi_lag19,stage1_to_stage2_true_pi_lag20,stage1_to_stage2_true_pi_lag21,stage1_to_stage2_true_pi_lag22,stage1_to_stage2_true_pi_lag23
2021-04-30 0:15,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 0:30,2.00022832353445,2,0,0,0.999771676465552,0.00022832353444846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 0:45,2.0004566470689,2,0,0,0.999543352931104,0.000456647068896476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:00,2.00068497060334,2,0,0,0.999315029396655,0.000684970603344937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:15,2.00091329413779,2,0,0,0.999086705862207,0.000913294137793397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:30,2.00114161767224,2,0,0,0.998858382327759,0.00114161767224141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 1:45,2.00136994120669,2,0,0,0.99863005879331,0.00136994120668987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:00,2.00159826474114,2,0,0,0.998401735258862,0.00159826474113833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:15,2.00182658827559,2,0,0,0.998173411724414,0.00182658827558635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-30 2:30,2.00205491181003,2,0,0,0.997945088189965,0.00205491181003481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
